uf,tipo_doenca,local_obito,faixa_etaria,sexo,total
MG,SRAG,DOMICILIO,"40 - 49",M,2
MG,SRAG,HOSPITAL,"40 - 49",F,13
MG,SRAG,HOSPITAL,"40 - 49",M,20
MG,SRAG,IGNORADO,"40 - 49",F,1
MG,SRAG,OUTRO,"40 - 49",M,1
MG,SRAG,OUTROS_SERVICOS_SAUDE,"40 - 49",F,4
MG,SRAG,OUTROS_SERVICOS_SAUDE,"40 - 49",M,7
MS,OUTRAS,DOMICILIO,"40 - 49",F,36
MS,OUTRAS,DOMICILIO,"40 - 49",M,100
MS,OUTRAS,HOSPITAL,"40 - 49",F,143
MS,OUTRAS,HOSPITAL,"40 - 49",M,142
MS,OUTRAS,IGNORADO,"40 - 49",M,1
MS,OUTRAS,OUTRO,"40 - 49",F,2
MS,OUTRAS,OUTRO,"40 - 49",M,24
MS,OUTRAS,OUTROS_SERVICOS_SAUDE,"40 - 49",M,1
MS,OUTRAS,POSTO_SAUDE,"40 - 49",F,3
MS,OUTRAS,POSTO_SAUDE,"40 - 49",M,4
MS,OUTRAS,VIA_PUBLICA,"40 - 49",F,6
MS,OUTRAS,VIA_PUBLICA,"40 - 49",M,31
MS,COVID,DOMICILIO,"40 - 49",F,1
MS,COVID,DOMICILIO,"40 - 49",M,1
MS,COVID,HOSPITAL,"40 - 49",F,48
MS,COVID,HOSPITAL,"40 - 49",M,58
MS,COVID,OUTRO,"40 - 49",M,1
MS,COVID,VIA_PUBLICA,"40 - 49",F,1
MS,INDETERMINADA,DOMICILIO,"40 - 49",F,3
MS,INDETERMINADA,OUTRO,"40 - 49",M,2
MS,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"40 - 49",F,7
MS,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"40 - 49",M,8
MS,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"40 - 49",F,30
MS,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"40 - 49",M,32
MS,INSUFICIENCIA_RESPIRATORIA,OUTRO,"40 - 49",F,1
MS,INSUFICIENCIA_RESPIRATORIA,OUTRO,"40 - 49",M,3
MS,PNEUMONIA,DOMICILIO,"40 - 49",F,2
MS,PNEUMONIA,DOMICILIO,"40 - 49",M,4
MS,PNEUMONIA,HOSPITAL,"40 - 49",F,46
MS,PNEUMONIA,HOSPITAL,"40 - 49",M,65
MS,PNEUMONIA,OUTRO,"40 - 49",M,1
MS,PNEUMONIA,POSTO_SAUDE,"40 - 49",F,1
MS,PNEUMONIA,VIA_PUBLICA,"40 - 49",M,1
MS,SEPTICEMIA,DOMICILIO,"40 - 49",F,1
MS,SEPTICEMIA,DOMICILIO,"40 - 49",M,1
MS,SEPTICEMIA,HOSPITAL,"40 - 49",F,47
MS,SEPTICEMIA,HOSPITAL,"40 - 49",M,59
MS,SEPTICEMIA,OUTRO,"40 - 49",M,1
MS,SRAG,HOSPITAL,"40 - 49",F,1
MS,SRAG,HOSPITAL,"40 - 49",M,3
MS,SRAG,VIA_PUBLICA,"40 - 49",M,2
MT,OUTRAS,DOMICILIO,"40 - 49",F,18
MT,OUTRAS,DOMICILIO,"40 - 49",M,48
MT,OUTRAS,HOSPITAL,"40 - 49",F,78
MT,OUTRAS,HOSPITAL,"40 - 49",M,118
MT,OUTRAS,IGNORADO,"40 - 49",F,158
MT,OUTRAS,IGNORADO,"40 - 49",M,263
MT,OUTRAS,OUTRO,"40 - 49",F,11
MT,OUTRAS,OUTRO,"40 - 49",M,33
MT,OUTRAS,OUTROS_SERVICOS_SAUDE,"40 - 49",F,3
MT,OUTRAS,OUTROS_SERVICOS_SAUDE,"40 - 49",M,2
MT,OUTRAS,VIA_PUBLICA,"40 - 49",F,5
MT,OUTRAS,VIA_PUBLICA,"40 - 49",M,12
MT,COVID,DOMICILIO,"40 - 49",F,1
MT,COVID,DOMICILIO,"40 - 49",M,2
MT,COVID,HOSPITAL,"40 - 49",F,51
MT,COVID,HOSPITAL,"40 - 49",M,95
MT,COVID,IGNORADO,"40 - 49",F,31
MT,COVID,IGNORADO,"40 - 49",M,65
MT,COVID,OUTRO,"40 - 49",F,1
MT,COVID,OUTRO,"40 - 49",M,2
MT,INDETERMINADA,DOMICILIO,"40 - 49",M,1
MT,INDETERMINADA,HOSPITAL,"40 - 49",M,1
MT,INDETERMINADA,IGNORADO,"40 - 49",F,1
MT,INDETERMINADA,IGNORADO,"40 - 49",M,6
MT,INDETERMINADA,OUTRO,"40 - 49",M,2
MT,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"40 - 49",F,1
MT,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"40 - 49",M,1
MT,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"40 - 49",F,11
MT,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"40 - 49",M,6
MT,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"40 - 49",F,2
MT,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"40 - 49",M,8
MT,INSUFICIENCIA_RESPIRATORIA,OUTRO,"40 - 49",F,1
MT,INSUFICIENCIA_RESPIRATORIA,OUTRO,"40 - 49",M,3
MT,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"40 - 49",F,1
MT,PNEUMONIA,DOMICILIO,"40 - 49",F,1
MT,PNEUMONIA,DOMICILIO,"40 - 49",M,2
MT,PNEUMONIA,HOSPITAL,"40 - 49",F,23
MT,PNEUMONIA,HOSPITAL,"40 - 49",M,21
MT,PNEUMONIA,IGNORADO,"40 - 49",F,9
MT,PNEUMONIA,IGNORADO,"40 - 49",M,9
MT,SEPTICEMIA,HOSPITAL,"40 - 49",F,24
MT,SEPTICEMIA,HOSPITAL,"40 - 49",M,23
MT,SEPTICEMIA,IGNORADO,"40 - 49",F,10
MT,SEPTICEMIA,IGNORADO,"40 - 49",M,14
MT,SEPTICEMIA,OUTRO,"40 - 49",F,1
MT,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"40 - 49",F,1
MT,SRAG,HOSPITAL,"40 - 49",F,1
MT,SRAG,HOSPITAL,"40 - 49",M,2
PA,OUTRAS,DOMICILIO,"40 - 49",F,105
PA,OUTRAS,DOMICILIO,"40 - 49",M,176
PA,OUTRAS,HOSPITAL,"40 - 49",F,236
PA,OUTRAS,HOSPITAL,"40 - 49",I,1
PA,OUTRAS,HOSPITAL,"40 - 49",M,325
PA,OUTRAS,IGNORADO,"40 - 49",F,4
PA,OUTRAS,IGNORADO,"40 - 49",M,11
PA,OUTRAS,OUTRO,"40 - 49",F,31
PA,OUTRAS,OUTRO,"40 - 49",M,73
PA,OUTRAS,OUTROS_SERVICOS_SAUDE,"40 - 49",F,24
PA,OUTRAS,OUTROS_SERVICOS_SAUDE,"40 - 49",M,39
PA,OUTRAS,VIA_PUBLICA,"40 - 49",F,18
PA,OUTRAS,VIA_PUBLICA,"40 - 49",M,115
PA,COVID,DOMICILIO,"40 - 49",F,5
PA,COVID,DOMICILIO,"40 - 49",M,7
PA,COVID,HOSPITAL,"40 - 49",F,116
PA,COVID,HOSPITAL,"40 - 49",M,185
PA,COVID,IGNORADO,"40 - 49",M,1
PA,COVID,OUTRO,"40 - 49",F,2
PA,COVID,OUTRO,"40 - 49",M,5
PA,COVID,OUTROS_SERVICOS_SAUDE,"40 - 49",F,10
PA,COVID,OUTROS_SERVICOS_SAUDE,"40 - 49",M,10
PA,COVID,VIA_PUBLICA,"40 - 49",M,1
PA,INDETERMINADA,DOMICILIO,"40 - 49",F,3
PA,INDETERMINADA,DOMICILIO,"40 - 49",M,6
PA,INDETERMINADA,HOSPITAL,"40 - 49",F,2
PA,INDETERMINADA,HOSPITAL,"40 - 49",M,1
PA,INDETERMINADA,OUTRO,"40 - 49",F,1
PA,INDETERMINADA,OUTRO,"40 - 49",M,2
PA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"40 - 49",F,8
PA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"40 - 49",M,16
PA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"40 - 49",F,95
PA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"40 - 49",M,68
PA,INSUFICIENCIA_RESPIRATORIA,OUTRO,"40 - 49",F,1
PA,INSUFICIENCIA_RESPIRATORIA,OUTRO,"40 - 49",M,4
PA,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"40 - 49",F,4
PA,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"40 - 49",M,6
PA,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"40 - 49",M,2
PA,PNEUMONIA,DOMICILIO,"40 - 49",F,2
PA,PNEUMONIA,DOMICILIO,"40 - 49",M,7
PA,PNEUMONIA,HOSPITAL,"40 - 49",F,66
PA,PNEUMONIA,HOSPITAL,"40 - 49",M,94
PA,PNEUMONIA,IGNORADO,"40 - 49",M,1
PA,PNEUMONIA,OUTRO,"40 - 49",M,3
PA,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"40 - 49",F,6
PA,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"40 - 49",M,5
PA,PNEUMONIA,VIA_PUBLICA,"40 - 49",M,2
PA,SEPTICEMIA,DOMICILIO,"40 - 49",F,3
PA,SEPTICEMIA,DOMICILIO,"40 - 49",M,7
PA,SEPTICEMIA,HOSPITAL,"40 - 49",F,79
PA,SEPTICEMIA,HOSPITAL,"40 - 49",M,73
PA,SEPTICEMIA,IGNORADO,"40 - 49",F,1
PA,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"40 - 49",F,6
PA,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"40 - 49",M,9
PA,SRAG,DOMICILIO,"40 - 49",F,1
PA,SRAG,DOMICILIO,"40 - 49",M,2
PA,SRAG,HOSPITAL,"40 - 49",F,18
PA,SRAG,HOSPITAL,"40 - 49",M,22
PA,SRAG,OUTROS_SERVICOS_SAUDE,"40 - 49",F,1
PB,OUTRAS,DOMICILIO,"40 - 49",F,69
PB,OUTRAS,DOMICILIO,"40 - 49",M,181
PB,OUTRAS,HOSPITAL,"40 - 49",F,177
PB,OUTRAS,HOSPITAL,"40 - 49",M,217
PB,OUTRAS,IGNORADO,"40 - 49",M,2
PB,OUTRAS,OUTRO,"40 - 49",F,5
PB,OUTRAS,OUTRO,"40 - 49",M,27
PB,OUTRAS,OUTROS_SERVICOS_SAUDE,"40 - 49",F,11
PB,OUTRAS,OUTROS_SERVICOS_SAUDE,"40 - 49",M,23
PB,OUTRAS,VIA_PUBLICA,"40 - 49",F,5
PB,OUTRAS,VIA_PUBLICA,"40 - 49",M,46
PB,COVID,DOMICILIO,"40 - 49",F,1
PB,COVID,HOSPITAL,"40 - 49",F,71
PB,COVID,HOSPITAL,"40 - 49",M,113
PB,COVID,OUTRO,"40 - 49",M,1
PB,COVID,OUTROS_SERVICOS_SAUDE,"40 - 49",F,2
PB,COVID,OUTROS_SERVICOS_SAUDE,"40 - 49",M,5
PB,COVID,VIA_PUBLICA,"40 - 49",M,1
PB,INDETERMINADA,DOMICILIO,"40 - 49",M,6
PB,INDETERMINADA,HOSPITAL,"40 - 49",F,3
PB,INDETERMINADA,HOSPITAL,"40 - 49",M,3
PB,INDETERMINADA,OUTRO,"40 - 49",M,2
PB,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"40 - 49",F,1
PB,INDETERMINADA,POSTO_SAUDE,"40 - 49",F,1
PB,INDETERMINADA,VIA_PUBLICA,"40 - 49",M,1
PB,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"40 - 49",F,7
PB,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"40 - 49",M,4
PB,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"40 - 49",F,45
PB,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"40 - 49",M,36
PB,INSUFICIENCIA_RESPIRATORIA,OUTRO,"40 - 49",M,6
PB,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"40 - 49",F,3
PB,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"40 - 49",M,5
PB,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"40 - 49",M,1
PB,PNEUMONIA,DOMICILIO,"40 - 49",M,3
PB,PNEUMONIA,HOSPITAL,"40 - 49",F,39
PB,PNEUMONIA,HOSPITAL,"40 - 49",M,61
PB,PNEUMONIA,IGNORADO,"40 - 49",M,1
PB,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"40 - 49",F,1
PB,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"40 - 49",M,3
PB,SEPTICEMIA,DOMICILIO,"40 - 49",F,3
PB,SEPTICEMIA,DOMICILIO,"40 - 49",M,1
PB,SEPTICEMIA,HOSPITAL,"40 - 49",F,52
PB,SEPTICEMIA,HOSPITAL,"40 - 49",M,85
PB,SEPTICEMIA,OUTRO,"40 - 49",F,1
PB,SEPTICEMIA,OUTRO,"40 - 49",M,1
PB,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"40 - 49",F,1
PB,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"40 - 49",M,4
PB,SRAG,HOSPITAL,"40 - 49",F,5
PB,SRAG,HOSPITAL,"40 - 49",M,13
PB,SRAG,OUTRO,"40 - 49",M,1
PE,OUTRAS,DOMICILIO,"40 - 49",F,151
PE,OUTRAS,DOMICILIO,"40 - 49",M,385
PE,OUTRAS,HOSPITAL,"40 - 49",F,486
PE,OUTRAS,HOSPITAL,"40 - 49",M,710
PE,OUTRAS,IGNORADO,"40 - 49",F,3
PE,OUTRAS,IGNORADO,"40 - 49",M,15
PE,OUTRAS,OUTRO,"40 - 49",F,35
PE,OUTRAS,OUTRO,"40 - 49",M,137
PE,OUTRAS,OUTROS_SERVICOS_SAUDE,"40 - 49",F,34
PE,OUTRAS,OUTROS_SERVICOS_SAUDE,"40 - 49",M,43
PE,OUTRAS,POSTO_SAUDE,"40 - 49",F,1
PE,OUTRAS,VIA_PUBLICA,"40 - 49",F,26
PE,OUTRAS,VIA_PUBLICA,"40 - 49",M,245
PE,COVID,DOMICILIO,"40 - 49",F,1
PE,COVID,DOMICILIO,"40 - 49",M,3
PE,COVID,HOSPITAL,"40 - 49",F,140
PE,COVID,HOSPITAL,"40 - 49",M,239
PE,COVID,IGNORADO,"40 - 49",F,1
PE,COVID,OUTROS_SERVICOS_SAUDE,"40 - 49",F,2
PE,COVID,OUTROS_SERVICOS_SAUDE,"40 - 49",M,7
PE,COVID,VIA_PUBLICA,"40 - 49",F,1
PE,INDETERMINADA,DOMICILIO,"40 - 49",F,7
PE,INDETERMINADA,DOMICILIO,"40 - 49",M,13
PE,INDETERMINADA,HOSPITAL,"40 - 49",F,13
PE,INDETERMINADA,HOSPITAL,"40 - 49",M,11
PE,INDETERMINADA,IGNORADO,"40 - 49",M,1
PE,INDETERMINADA,OUTRO,"40 - 49",F,1
PE,INDETERMINADA,OUTRO,"40 - 49",M,4
PE,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"40 - 49",M,1
PE,INDETERMINADA,VIA_PUBLICA,"40 - 49",F,1
PE,INDETERMINADA,VIA_PUBLICA,"40 - 49",M,3
PE,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"40 - 49",F,14
PE,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"40 - 49",M,7
PE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"40 - 49",F,99
PE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"40 - 49",M,80
PE,INSUFICIENCIA_RESPIRATORIA,OUTRO,"40 - 49",F,1
PE,INSUFICIENCIA_RESPIRATORIA,OUTRO,"40 - 49",M,1
PE,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"40 - 49",F,1
PE,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"40 - 49",M,2
PE,PNEUMONIA,DOMICILIO,"40 - 49",F,4
PE,PNEUMONIA,DOMICILIO,"40 - 49",M,8
PE,PNEUMONIA,HOSPITAL,"40 - 49",F,57
PE,PNEUMONIA,HOSPITAL,"40 - 49",M,106
PE,PNEUMONIA,IGNORADO,"40 - 49",M,2
PE,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"40 - 49",M,9
PE,PNEUMONIA,VIA_PUBLICA,"40 - 49",M,1
PE,SEPTICEMIA,DOMICILIO,"40 - 49",F,10
PE,SEPTICEMIA,DOMICILIO,"40 - 49",M,8
PE,SEPTICEMIA,HOSPITAL,"40 - 49",F,205
PE,SEPTICEMIA,HOSPITAL,"40 - 49",M,280
PE,SEPTICEMIA,IGNORADO,"40 - 49",M,2
PE,SEPTICEMIA,OUTRO,"40 - 49",M,1
PE,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"40 - 49",F,5
PE,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"40 - 49",M,3
PE,SRAG,DOMICILIO,"40 - 49",F,4
PE,SRAG,DOMICILIO,"40 - 49",M,8
PE,SRAG,HOSPITAL,"40 - 49",F,84
PE,SRAG,HOSPITAL,"40 - 49",M,121
PE,SRAG,OUTRO,"40 - 49",F,1
PE,SRAG,OUTROS_SERVICOS_SAUDE,"40 - 49",F,4
PE,SRAG,OUTROS_SERVICOS_SAUDE,"40 - 49",M,11
PE,SRAG,VIA_PUBLICA,"40 - 49",M,2
PI,OUTRAS,DOMICILIO,"40 - 49",F,50
PI,OUTRAS,DOMICILIO,"40 - 49",M,120
PI,OUTRAS,HOSPITAL,"40 - 49",F,95
PI,OUTRAS,HOSPITAL,"40 - 49",M,130
PI,OUTRAS,IGNORADO,"40 - 49",M,1
PI,OUTRAS,OUTRO,"40 - 49",F,2
PI,OUTRAS,OUTRO,"40 - 49",M,21
PI,OUTRAS,OUTROS_SERVICOS_SAUDE,"40 - 49",F,3
PI,OUTRAS,OUTROS_SERVICOS_SAUDE,"40 - 49",M,3
PI,OUTRAS,VIA_PUBLICA,"40 - 49",F,3
PI,OUTRAS,VIA_PUBLICA,"40 - 49",M,25
PI,COVID,HOSPITAL,"40 - 49",F,36
PI,COVID,HOSPITAL,"40 - 49",M,59
PI,COVID,OUTRO,"40 - 49",F,1
PI,INDETERMINADA,HOSPITAL,"40 - 49",F,2
PI,INDETERMINADA,OUTRO,"40 - 49",M,1
PI,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"40 - 49",F,9
PI,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"40 - 49",M,16
PI,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"40 - 49",F,35
PI,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"40 - 49",M,44
PI,INSUFICIENCIA_RESPIRATORIA,OUTRO,"40 - 49",M,3
PI,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"40 - 49",M,1
PI,PNEUMONIA,DOMICILIO,"40 - 49",F,2
PI,PNEUMONIA,DOMICILIO,"40 - 49",M,3
PI,PNEUMONIA,HOSPITAL,"40 - 49",F,18
PI,PNEUMONIA,HOSPITAL,"40 - 49",M,42
PI,PNEUMONIA,OUTRO,"40 - 49",F,1
PI,SEPTICEMIA,DOMICILIO,"40 - 49",F,4
PI,SEPTICEMIA,DOMICILIO,"40 - 49",M,4
PI,SEPTICEMIA,HOSPITAL,"40 - 49",F,38
PI,SEPTICEMIA,HOSPITAL,"40 - 49",M,50
PI,SEPTICEMIA,OUTRO,"40 - 49",M,1
PI,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"40 - 49",F,1
PI,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"40 - 49",M,1
PI,SEPTICEMIA,VIA_PUBLICA,"40 - 49",M,1
PI,SRAG,HOSPITAL,"40 - 49",F,3
PI,SRAG,HOSPITAL,"40 - 49",M,2
PI,SRAG,OUTROS_SERVICOS_SAUDE,"40 - 49",M,1
PR,OUTRAS,DOMICILIO,"40 - 49",F,155
PR,OUTRAS,DOMICILIO,"40 - 49",M,384
PR,OUTRAS,HOSPITAL,"40 - 49",F,474
PR,OUTRAS,HOSPITAL,"40 - 49",M,642
PR,OUTRAS,IGNORADO,"40 - 49",F,2
PR,OUTRAS,IGNORADO,"40 - 49",M,4
PR,OUTRAS,OUTRO,"40 - 49",F,46
PR,OUTRAS,OUTRO,"40 - 49",M,146
PR,OUTRAS,OUTROS_SERVICOS_SAUDE,"40 - 49",F,33
PR,OUTRAS,OUTROS_SERVICOS_SAUDE,"40 - 49",M,46
PR,OUTRAS,POSTO_SAUDE,"40 - 49",F,2
PR,OUTRAS,POSTO_SAUDE,"40 - 49",M,2
PR,OUTRAS,SAMU,"40 - 49",F,1
PR,OUTRAS,VIA_PUBLICA,"40 - 49",F,19
PR,OUTRAS,VIA_PUBLICA,"40 - 49",M,191
PR,COVID,DOMICILIO,"40 - 49",F,7
PR,COVID,DOMICILIO,"40 - 49",M,9
PR,COVID,HOSPITAL,"40 - 49",F,149
PR,COVID,HOSPITAL,"40 - 49",M,276
PR,COVID,IGNORADO,"40 - 49",M,2
PR,COVID,OUTRO,"40 - 49",F,3
PR,COVID,OUTRO,"40 - 49",M,11
PR,COVID,OUTROS_SERVICOS_SAUDE,"40 - 49",F,4
PR,COVID,OUTROS_SERVICOS_SAUDE,"40 - 49",M,15
PR,COVID,VIA_PUBLICA,"40 - 49",M,1
PR,INDETERMINADA,DOMICILIO,"40 - 49",F,4
PR,INDETERMINADA,DOMICILIO,"40 - 49",M,13
PR,INDETERMINADA,HOSPITAL,"40 - 49",F,2
PR,INDETERMINADA,HOSPITAL,"40 - 49",M,1
PR,INDETERMINADA,OUTRO,"40 - 49",F,1
PR,INDETERMINADA,OUTRO,"40 - 49",M,1
PR,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"40 - 49",M,2
PR,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"40 - 49",F,13
PR,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"40 - 49",M,12
PR,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"40 - 49",F,65
PR,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"40 - 49",M,59
PR,INSUFICIENCIA_RESPIRATORIA,OUTRO,"40 - 49",F,1
PR,INSUFICIENCIA_RESPIRATORIA,OUTRO,"40 - 49",M,3
PR,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"40 - 49",F,4
PR,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"40 - 49",M,2
PR,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"40 - 49",F,1
PR,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"40 - 49",M,4
PR,PNEUMONIA,DOMICILIO,"40 - 49",F,2
PR,PNEUMONIA,DOMICILIO,"40 - 49",M,7
PR,PNEUMONIA,HOSPITAL,"40 - 49",F,80
PR,PNEUMONIA,HOSPITAL,"40 - 49",M,135
PR,PNEUMONIA,OUTRO,"40 - 49",F,2
PR,PNEUMONIA,OUTRO,"40 - 49",M,2
PR,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"40 - 49",F,2
PR,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"40 - 49",M,1
PR,SEPTICEMIA,DOMICILIO,"40 - 49",F,1
PR,SEPTICEMIA,DOMICILIO,"40 - 49",M,3
PR,SEPTICEMIA,HOSPITAL,"40 - 49",F,140
PR,SEPTICEMIA,HOSPITAL,"40 - 49",M,184
PR,SEPTICEMIA,OUTRO,"40 - 49",M,3
PR,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"40 - 49",F,3
PR,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"40 - 49",M,3
PR,SRAG,HOSPITAL,"40 - 49",F,6
PR,SRAG,HOSPITAL,"40 - 49",M,13
RJ,OUTRAS,DOMICILIO,"40 - 49",F,237
RJ,OUTRAS,DOMICILIO,"40 - 49",M,507
RJ,OUTRAS,HOSPITAL,"40 - 49",F,1030
RJ,OUTRAS,HOSPITAL,"40 - 49",M,1160
RJ,OUTRAS,IGNORADO,"40 - 49",F,3
RJ,OUTRAS,IGNORADO,"40 - 49",M,6
RJ,OUTRAS,OUTRO,"40 - 49",F,38
RJ,OUTRAS,OUTRO,"40 - 49",M,148
RJ,OUTRAS,OUTROS_SERVICOS_SAUDE,"40 - 49",F,230
RJ,OUTRAS,OUTROS_SERVICOS_SAUDE,"40 - 49",M,350
RJ,OUTRAS,VIA_PUBLICA,"40 - 49",F,15
RJ,OUTRAS,VIA_PUBLICA,"40 - 49",M,123
RJ,COVID,DOMICILIO,"40 - 49",F,8
RJ,COVID,DOMICILIO,"40 - 49",M,16
RJ,COVID,HOSPITAL,"40 - 49",F,471
RJ,COVID,HOSPITAL,"40 - 49",M,719
RJ,COVID,IGNORADO,"40 - 49",M,1
RJ,COVID,OUTRO,"40 - 49",F,1
RJ,COVID,OUTRO,"40 - 49",M,3
RJ,COVID,OUTROS_SERVICOS_SAUDE,"40 - 49",F,58
RJ,COVID,OUTROS_SERVICOS_SAUDE,"40 - 49",M,72
RJ,COVID,VIA_PUBLICA,"40 - 49",M,1
RJ,INDETERMINADA,DOMICILIO,"40 - 49",F,11
RJ,INDETERMINADA,DOMICILIO,"40 - 49",M,25
RJ,INDETERMINADA,HOSPITAL,"40 - 49",F,21
RJ,INDETERMINADA,HOSPITAL,"40 - 49",M,19
RJ,INDETERMINADA,IGNORADO,"40 - 49",M,1
RJ,INDETERMINADA,OUTRO,"40 - 49",F,1
RJ,INDETERMINADA,OUTRO,"40 - 49",M,5
RJ,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"40 - 49",F,6
RJ,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"40 - 49",M,11
RJ,INDETERMINADA,VIA_PUBLICA,"40 - 49",F,1
RJ,INDETERMINADA,VIA_PUBLICA,"40 - 49",M,1
RJ,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"40 - 49",F,12
RJ,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"40 - 49",M,11
RJ,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"40 - 49",F,196
RJ,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"40 - 49",M,145
RJ,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"40 - 49",M,1
RJ,INSUFICIENCIA_RESPIRATORIA,OUTRO,"40 - 49",F,2
RJ,INSUFICIENCIA_RESPIRATORIA,OUTRO,"40 - 49",M,4
RJ,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"40 - 49",F,44
RJ,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"40 - 49",M,45
RJ,PNEUMONIA,DOMICILIO,"40 - 49",F,14
RJ,PNEUMONIA,DOMICILIO,"40 - 49",M,10
RJ,PNEUMONIA,HOSPITAL,"40 - 49",F,233
RJ,PNEUMONIA,HOSPITAL,"40 - 49",M,327
RJ,PNEUMONIA,IGNORADO,"40 - 49",F,1
RJ,PNEUMONIA,IGNORADO,"40 - 49",M,1
RJ,PNEUMONIA,OUTRO,"40 - 49",F,2
RJ,PNEUMONIA,OUTRO,"40 - 49",M,4
RJ,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"40 - 49",F,30
RJ,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"40 - 49",M,61
RJ,PNEUMONIA,VIA_PUBLICA,"40 - 49",M,4
RJ,SEPTICEMIA,DOMICILIO,"40 - 49",F,3
RJ,SEPTICEMIA,DOMICILIO,"40 - 49",M,6
